Year,Category,Subcategory,Services and Functions,Budget type,Budget (In '000)
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",President,Actual Expenditure,222929
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",President,Revised,221988
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",President,Allocated Recurrent,76302
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",President,Allocated Capital and finance,335440
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Deputy President,Actual Expenditure,34755
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Deputy President,Revised,26286
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Deputy President,Allocated Recurrent,26230
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Deputy President,Allocated Capital and finance,3000
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Constituent Assembly / Legislature - Parliament,Actual Expenditure,186312
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Constituent Assembly / Legislature - Parliament,Revised,649772
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Constituent Assembly / Legislature - Parliament,Allocated Recurrent,1180844
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Constituent Assembly / Legislature - Parliament,Allocated Capital and finance,89800
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Commission for Investigation of Abuse of Authority,Actual Expenditure,155485
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Commission for Investigation of Abuse of Authority,Revised,423328
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Commission for Investigation of Abuse of Authority,Allocated Recurrent,514184
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Commission for Investigation of Abuse of Authority,Allocated Capital and finance,280740
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Office of the Auditor General,Actual Expenditure,239162
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Office of the Auditor General,Revised,288975
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Office of the Auditor General,Allocated Recurrent,397386
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Office of the Auditor General,Allocated Capital and finance,119002
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Prime Minister and Council of Minister's Office,Actual Expenditure,2727679
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Prime Minister and Council of Minister's Office,Revised,2700100
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Prime Minister and Council of Minister's Office,Allocated Recurrent,3982761
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Prime Minister and Council of Minister's Office,Allocated Capital and finance,38415
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Finance,Actual Expenditure,3569849
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Finance,Revised,4869295
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Finance,Allocated Recurrent,5781112
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Finance,Allocated Capital and finance,684369
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Foreign Affairs,Actual Expenditure,1983904
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Foreign Affairs,Revised,2218464
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Foreign Affairs,Allocated Recurrent,2392043
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Foreign Affairs,Allocated Capital and finance,455906
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MInistry of Urban Development,Actual Expenditure,426132
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MInistry of Urban Development,Revised,130593
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MInistry of Urban Development,Allocated Recurrent,71084
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MInistry of Urban Development,Allocated Capital and finance,5510
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Cooperative and poverty Alleviation,Actual Expenditure,204225
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Cooperative and poverty Alleviation,Revised,76100
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Cooperative and poverty Alleviation,Allocated Recurrent,153983
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Cooperative and poverty Alleviation,Allocated Capital and finance,1790
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of General Administration,Actual Expenditure,27255
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of General Administration,Revised,26746
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of General Administration,Allocated Recurrent,55265
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Federal Affairs and Local Development,Actual Expenditure,113048
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Federal Affairs and Local Development,Revised,122584
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Federal Affairs and Local Development,Allocated Recurrent,859094
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Federal Affairs and Local Development,Allocated Capital and finance,13600
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Policy Financing,Actual Expenditure,6755077
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Policy Financing,Revised,2098855
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Policy Financing,Allocated Capital and finance,3200000
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Multilateral),Actual Expenditure,14200289
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Multilateral),Revised,16372560
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Multilateral),Allocated Recurrent,4061024
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Multilateral),Allocated Capital and finance,16465005
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Bilateral),Actual Expenditure,2992978
